text,page,line
"The greatest delight which the fields and woods minister, is the",8,"the greatest delight which the fields and woods minister, is the"
suggestion ofan occult relation between man and the vegetable.,8,suggestion ofan occult relation between man and the vegetable.
"I am not alone and unacknowledged. They nod to me, and I to",8,"i am not alone and unacknowledged. they nod to me, and i to"
"them. The waving ofthe boughs in the storm, is new to me and",8,"them. the waving ofthe boughs in the storm, is new to me and"
"old. It takes me by surprise, and yet is not unknown. Its effect is",8,"old. it takes me by surprise, and yet is not unknown. its effect is"
"like that ofa higher thought or a better emotion coming over me,",8,"like that ofa higher thought or a better emotion coming over me,"
when I deemed I was thinking justly or doing right.,8,when i deemed i was thinking justly or doing right.
                                     -RALPH WALDO EMERSON,8,                                     -ralph waldo emerson
,8,
,8,
,8,
,8,
Earth may be alive: not as the ancients saw her-a sentient,8,earth may be alive: not as the ancients saw her-a sentient
Goddess with a purpose and foresight-but alive like a tree. A tree,8,goddess with a purpose and foresight-but alive like a tree. a tree
"that quietly exists, never moving except to sway in the wind, yet",8,"that quietly exists, never moving except to sway in the wind, yet"
endlessly conversing with the sunlight and the soil. Using sunlight,8,endlessly conversing with the sunlight and the soil. using sunlight
and water and nutrient minerals to grow and change. But all done,8,and water and nutrient minerals to grow and change. but all done
"so imperceptibly, that to me the old oak tree on the green is the",8,"so imperceptibly, that to me the old oak tree on the green is the"
same as it was when I was a child.,8,same as it was when i was a child.
                                              -JAMES LOVELOCK,8,                                              -james lovelock
,8,
,8,
,8,
,8,
"Tree . . . he watching you. You look at tree, he listen to you. He got",8,"tree . . . he watching you. you look at tree, he listen to you. he got"
"no finger, he can't speak. But that leaf. . . he pumping, growing,",8,"no finger, he can't speak. but that leaf. . . he pumping, growing,"
growing in the night. While you sleeping you dream something.,8,growing in the night. while you sleeping you dream something.
Tree and grass same thing.,8,tree and grass same thing.
                                                   -BILL NEIDJIE,8,                                                   -bill neidjie
,8,
                 PATRICIA WESTERFORD,9,                 patricia westerford
,9,
,9,
,9,
,9,
"                 , IT' s I 9 5 o, and like the boy Cyparissus, whom she' ll",9,"                 , it' s i 9 5 o, and like the boy cyparissus, whom she' ll"
"                 · soon discover, little Patty Westerford falls in love with",9,"                 · soon discover, little patty westerford falls in love with"
"                   her pet deer. Hers is made of twigs, though it's every bit",9,"                   her pet deer. hers is made of twigs, though it's every bit"
"                   alive. Also: squirrels from pairs of glued walnut shells,",9,"                   alive. also: squirrels from pairs of glued walnut shells,"
"                   bears made of sweetgum balls, dragons from the pods of",9,"                   bears made of sweetgum balls, dragons from the pods of"
"                   Kentucky coffee trees, fairies donning acorn caps, and an",9,"                   kentucky coffee trees, fairies donning acorn caps, and an"
angel whose pine-cone body needs only two holly leaves for wings.,9,angel whose pine-cone body needs only two holly leaves for wings.
   She builds these creatures elaborate homes with pebbled front walks and,9,   she builds these creatures elaborate homes with pebbled front walks and
mushroom furniture. She sleeps them in beds fitted with magnolia-petal,9,mushroom furniture. she sleeps them in beds fitted with magnolia-petal
"comforters. She watches over them, the guiding spirit of a kingdom whose",9,"comforters. she watches over them, the guiding spirit of a kingdom whose"
towns nestle behind closed doors in the burls of trees. Knotholes turn into,9,towns nestle behind closed doors in the burls of trees. knotholes turn into
"louvered windows, through which, squinting, she can see the inviting par­",9,"louvered windows, through which, squinting, she can see the inviting par­"
"lors of woody citizens, the lost kin of humans. She lives there with her crea­",9,"lors of woody citizens, the lost kin of humans. she lives there with her crea­"
"tures in the minuscule architecture of imagination, so much richer than the",9,"tures in the minuscule architecture of imagination, so much richer than the"
"offerings of full-sized life. When her tiny wooden doll's head twists off, she",9,"offerings of full-sized life. when her tiny wooden doll's head twists off, she"
"plants it in the garden, certain it will grow another body.",9,"plants it in the garden, certain it will grow another body."
"   All her twig creatures can talk, though most, like Patty, have no need",9,"   all her twig creatures can talk, though most, like patty, have no need"
of words. She herself said nothing until past the age of three. Her two older,9,of words. she herself said nothing until past the age of three. her two older
"brothers interpreted her secret language for their frightened parents, who",9,"brothers interpreted her secret language for their frightened parents, who"
,9,
                            THE OVERSTORY       •   113,10,                            the overstory       •   113
,10,
,10,
,10,
began to think she must be mentally deficient. They brought Patty into the,10,began to think she must be mentally deficient. they brought patty into the
clinic in Chillicothe for tests that revealed a deformation of the inner ear.,10,clinic in chillicothe for tests that revealed a deformation of the inner ear.
"The clinic fitted her with fist-sized hearing aids, which she hated. When her",10,"the clinic fitted her with fist-sized hearing aids, which she hated. when her"
